---------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
               execute_context_0(0)_generation_0(0)         0.34%       1.849ms         0.34%       1.857ms     928.427us             2  
             execute_context_1(128)_generation_0(0)         2.51%      13.553ms        10.03%      54.210ms      54.210ms             1  
                                        aten::empty         1.17%       6.332ms         1.17%       6.332ms       3.191us          1984  
                                           aten::to         0.83%       4.463ms        11.71%      63.284ms      10.082us          6277  
                                   aten::lift_fresh         0.00%      24.046us         0.00%      24.046us       0.325us            74  
                                      aten::detach_         0.00%       1.033us         0.00%       1.033us       0.258us             4  
                                     aten::_to_copy         1.62%       8.755ms        10.88%      58.821ms      14.552us          4042  
                                aten::empty_strided         1.98%      10.719ms         1.98%      10.719ms       2.418us          4432  
                                        aten::copy_         8.69%      46.984ms         8.72%      47.119ms      10.497us          4489  
                                        aten::slice         0.94%       5.057ms         1.25%       6.754ms       1.403us          4813  
                                   aten::as_strided         0.95%       5.162ms         0.95%       5.162ms       0.515us         10021  
                                        aten::alias         0.01%      31.623us         0.01%      31.623us       1.860us            17  
                                      aten::flatten         0.06%     331.655us         0.11%     569.458us       1.873us           304  
                                         aten::view         0.35%       1.894ms         0.35%       1.894ms       0.739us          2561  
                                 aten::index_select         0.09%     499.400us         0.12%     621.774us      19.430us            32  
                                          aten::add         5.17%      27.957ms         5.17%      27.967ms      11.721us          2386  
                                        aten::fill_         0.81%       4.360ms         0.81%       4.383ms       8.645us           507  
                                       aten::detach         0.02%      84.112us         0.02%      84.112us       2.403us            35  
                                 aten::resolve_conj         0.00%      22.835us         0.00%      22.835us       0.439us            52  
                                  aten::resolve_neg         0.00%       6.098us         0.00%       6.098us       0.117us            52  
                                        aten::index         0.25%       1.336ms         0.43%       2.334ms      46.684us            50  
                                      aten::reshape         0.43%       2.343ms         0.67%       3.612ms       2.286us          1580  
                                       aten::select         0.04%     232.299us         0.05%     279.192us       1.692us           165  
                                          aten::sub         0.07%     385.216us         0.07%     388.544us      12.142us            32  
                                           aten::lt         0.02%     109.424us         0.02%     109.424us       6.839us            16  
                                         aten::item         0.00%      26.159us         0.01%      40.925us       1.516us            27  
                          aten::_local_scalar_dense         0.00%      14.766us         0.00%      14.766us       0.547us            27  
                                 aten::floor_divide         0.00%      12.600us         0.01%      29.346us       5.869us             5  
                                       aten::arange         0.00%      10.280us         0.00%      20.745us      10.373us             2  
                                      aten::resize_         0.01%      63.020us         0.01%      63.020us       3.707us            17  
                                          aten::cat         0.00%       9.979us         0.00%      13.247us       4.416us             3  
                                           aten::eq         0.00%       3.995us         0.00%       3.995us       3.995us             1  
                                       aten::cumsum         0.00%       6.155us         0.00%      11.119us       5.560us             2  
                                        aten::stack         0.00%       2.245us         0.00%      12.405us      12.405us             1  
                                    aten::unsqueeze         0.11%     606.288us         0.19%       1.022ms       1.052us           972  
                                       aten::narrow         0.24%       1.282ms         0.45%       2.454ms       2.538us           967  
                                    aten::new_zeros         0.00%       2.419us         0.00%       4.974us       4.974us             1  
                                    aten::new_empty         0.14%     748.849us         0.35%       1.884ms       3.602us           523  
                                        aten::zero_         0.09%     490.518us         0.74%       4.010ms      13.063us           307  
                                           aten::gt         0.01%      49.768us         0.01%      49.768us      16.589us             3  
                                         aten::diff         0.00%       9.383us         0.00%      26.682us       8.894us             3  
                                          aten::neg         0.00%       7.385us         0.00%       7.385us       1.231us             6  
                                          aten::sum         0.00%      17.192us         0.01%      28.336us       9.445us             3  
                                       aten::unbind         0.00%       2.925us         0.00%       7.915us       2.638us             3  
                                         aten::full         0.00%       9.189us         0.02%      92.066us      15.344us             6  
                                   aten::empty_like         0.10%     555.800us         0.34%       1.831ms       4.096us           447  
                                    aten::expand_as         0.00%       2.542us         0.00%       6.247us       2.082us             3  
                                       aten::expand         0.08%     444.683us         0.11%     615.918us       1.987us           310  
                                    aten::embedding         0.01%      47.209us         0.11%     571.179us      35.699us            16  
                                       aten::gather         0.00%      26.327us         0.00%      26.929us      26.929us             1  
                                          aten::pow         2.05%      11.066ms         2.17%      11.729ms      14.960us           784  
                                  aten::result_type         0.05%     257.000us         0.05%     257.000us       0.328us           784  
                                         aten::mean         2.11%      11.395ms         2.11%      11.395ms      14.535us           784  
                                        aten::rsqrt         1.65%       8.947ms         1.65%       8.947ms      11.412us           784  
                                          aten::mul         3.45%      18.632ms         3.45%      18.632ms      11.197us          1664  
                                       aten::linear         0.69%       3.714ms         9.99%      54.008ms      29.609us          1824  
                                            aten::t         0.69%       3.723ms         1.38%       7.461ms       4.090us          1824  
                                    aten::transpose         0.60%       3.265ms         1.01%       5.455ms       2.165us          2520  
                                       aten::matmul         0.43%       2.317ms         7.92%      42.833ms      23.483us          1824  
                                           aten::mm         7.49%      40.515ms         7.49%      40.515ms      22.212us          1824  
                                        aten::zeros         0.18%     992.320us         1.08%       5.840ms      20.277us           288  
    vllm::qwen_gdn_attention_core_fused_norm_packed        17.11%      92.521ms        22.18%     119.945ms     416.477us           288  
                             aten::split_with_sizes         0.23%       1.261ms         0.30%       1.623ms       4.226us           384  
                               aten::_reshape_alias         0.03%     188.436us         0.03%     188.436us       0.952us           198  
                                        aten::chunk         0.11%     601.452us         0.51%       2.738ms       9.507us           288  
                                        aten::split         0.16%     864.214us         0.61%       3.304ms       6.883us           480  
                                   aten::contiguous         0.00%      25.210us         0.11%     606.101us      16.836us            36  
                                        aten::clone         0.02%      82.757us         0.17%     934.141us      17.299us            54  
                                  aten::bitwise_not         0.04%     211.827us         0.04%     211.827us      11.768us            18  
                                   aten::index_put_         0.01%      53.060us         0.23%       1.237ms      34.372us            36  
                             aten::_index_put_impl_         0.08%     430.149us         0.22%       1.184ms      32.898us            36  
                                 aten::masked_fill_         0.05%     260.195us         0.05%     286.913us      15.940us            18  
                        ChunkGatedDeltaRuleFunction         1.60%       8.662ms         1.78%       9.637ms     535.363us            18  
                                   aten::zeros_like         0.01%      34.824us         0.06%     350.668us      19.482us            18  
                                      aten::squeeze         0.10%     557.177us         0.14%     740.573us       2.571us           288  
                                 aten::_unsafe_view         0.00%      12.365us         0.00%      12.365us       0.687us            18  
                                   _C::silu_and_mul         1.04%       5.599ms         1.04%       5.599ms      14.580us           384  
                      vllm::unified_kv_cache_update         0.57%       3.102ms         1.17%       6.316ms      65.794us            96  
              _C_cache_ops::reshape_and_cache_flash         0.35%       1.889ms         0.35%       1.889ms      19.682us            96  
                vllm::unified_attention_with_output         1.07%       5.770ms         3.57%      19.299ms     201.029us            96  
                            _vllm_fa2_C::varlen_fwd         1.14%       6.147ms         2.16%      11.658ms     121.439us            96  
                                      aten::sigmoid         0.28%       1.507ms         0.28%       1.507ms      15.701us            96  
                               vllm::sm89_bf16_gemv         0.21%       1.131ms         0.22%       1.184ms      74.021us            16  
                                       aten::argmax         0.11%     587.787us         0.11%     598.767us      37.423us            16  
               execute_context_0(0)_generation_1(1)        29.11%     157.394ms        89.26%     482.600ms      32.173ms            15  
---------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 540.662ms

